Region,Country,Year,All Types,Beer,Other,Spirits,Wine
Africa,Burundi,2000,9.05,1.89,6.15,0.37,0.14
Africa,Burundi,2001,9.56,1.88,7.04,0.38,0.13
Africa,Burundi,2002,8.15,0.64,0,4.19,2
Africa,Burundi,2003,9.07,1.88,0.3,3.8,3.06
Africa,Burundi,2004,10.49,2.11,0.23,3.27,4.89
Africa,Burundi,2005,8.78,3.12,0,1.82,3.92
Africa,Burundi,2006,11.9,4.62,0,2.9,3.3
Africa,Burundi,2007,9.59,4.7,0,1.41,2.98
Africa,Burundi,2008,11.5,2.92,0,7.09,0.9
Africa,Burundi,2009,11.21,4.71,0,5.77,1.26
Africa,Burundi,2010,10.12,4.2,0.23,4.57,1.11
Africa,Burundi,2011,6.75,0.58,6.26,0.03,0
Africa,Côte d'Ivoire,2000,7.11,0.65,6.37,0.03,0
Africa,Côte d'Ivoire,2001,8.29,3.62,0.01,4.88,0.39
Africa,Côte d'Ivoire,2002,10.13,3.85,0.26,5.46,0.35
Africa,Côte d'Ivoire,2003,8.47,3.79,0.17,4.04,0.31
Africa,Côte d'Ivoire,2004,11.85,3.22,0.06,7.91,1.18
Africa,Côte d'Ivoire,2005,12.68,3.57,0.89,6.56,1.68
Africa,Côte d'Ivoire,2006,9.99,3.28,0.51,5.03,1.3
Africa,Côte d'Ivoire,2007,4.94,1.96,0.01,2.82,0.07
Africa,Côte d'Ivoire,2008,5.89,2.43,0.13,3,0.27
Africa,Côte d'Ivoire,2009,6.93,2.32,0.12,4.14,0.3
Africa,Côte d'Ivoire,2010,3.3,2.85,3,0.22,0.02
Africa,Côte d'Ivoire,2011,3.85,3.31,3,0.17,0.09
Africa,Côte d'Ivoire,2012,5.07,2.57,0,0.64,0.09
Africa,Côte d'Ivoire,2013,5.27,1.14,0,0.74,3.91
Africa,Cabo Verde,2000,5.58,0.94,0,0.52,2.67
Africa,Cabo Verde,2001,0.05,0,0,0.05,0
Africa,Cabo Verde,2002,0.09,0,0,0.08,0.01
Africa,Cabo Verde,2003,0.09,0,0,0.09,0
Africa,Cabo Verde,2004,0.33,0.16,0,0.03,0.18
Africa,Cabo Verde,2005,0.28,0.16,0,0.03,0.12
Africa,Cabo Verde,2006,0.26,0.15,0,0.03,0.11
Africa,Cabo Verde,2007,7.25,3.65,0,2.64,1.51
Africa,Cabo Verde,2008,9.54,3.62,0.21,2.12,3.38
Africa,Cabo Verde,2009,9.16,2.93,0.21,2.1,4.18
Africa,Cabo Verde,2010,7.41,6.14,0,0.83,3.72
Africa,Cabo Verde,2011,6.33,4.59,0,0.33,1.9
Western Pacific,Cambodia,2000,4.21,4.9,4.08,0,0
Western Pacific,Cambodia,2001,3.8,0.14,3.63,0.01,0.01
Western Pacific,Cambodia,2002,3.78,0.19,3.54,0.02,0.03
Western Pacific,Cambodia,2003,1.45,1.47,0.03,0.17,0.15
Western Pacific,Cambodia,2004,1.73,1.13,0.03,0.25,0.23
Western Pacific,Cambodia,2005,1.83,1.34,0.03,0.25,0.28
Western Pacific,Cambodia,2006,9.85,4.32,0.36,3.65,1.59
Western Pacific,Cambodia,2007,11.37,3.82,0.5,5.54,1.43
Western Pacific,Cambodia,2008,9.89,3.53,0.59,4.12,1.65
Western Pacific,Cambodia,2009,11.58,4.65,0,1.58,3.28
Western Pacific,Cambodia,2010,10.94,5.7,0,1.2,4.08
Western Pacific,Cambodia,2011,9.53,4.94,0,0.89,5.5
Africa,Cameroon,2000,1.18,0.44,0,0.43,0.01
Africa,Cameroon,2001,1.09,0.93,0.05,0.04,0.03
Africa,Cameroon,2002,0,0.92,0,0,0
Africa,Cameroon,2003,0,0,0,0,0
Africa,Cameroon,2004,0,0,0,0,0
Africa,Cameroon,2005,6.96,3.72,0.76,1.11,1.27
Africa,Cameroon,2006,7.6,3.97,1.36,1.22,1.37
Africa,Cameroon,2007,7.38,4.55,1,0.57,1.28
Africa,Cameroon,2008,11.96,4.17,0.65,3.02,3.74
Africa,Cameroon,2009,9.99,5.09,0.19,2.73,2.23
Africa,Cameroon,2010,1.45,4.42,0,1.34,2.07
Africa,Cameroon,2011,1.97,0.15,0.04,1.63,0
Americas,Canada,2000,2.31,0.2,0.04,1.97,0
Americas,Canada,2001,1.76,0.39,1.5,0.26,0.01
Americas,Canada,2002,1.55,0,1.28,0.27,0
Americas,Canada,2003,1.77,0.12,1.32,0.29,0
Americas,Canada,2004,4.53,1.72,0,2.78,0.09
Americas,Canada,2005,4.94,1.64,0.15,2.63,0.18
Americas,Canada,2006,6.02,2.04,0.22,3.51,0.11
Americas,Canada,2007,5.65,1.57,3.52,0.42,0.16
Americas,Canada,2008,4.87,1.65,3.35,0.02,0.04
Americas,Canada,2009,6.6,1.67,0,1.4,2.2
Americas,Canada,2010,6.5,2.6,0.1,1,2.9
Americas,Canada,2011,7.4,2.7,0,1.1,3.4
Americas,Canada,2012,11.12,2.7,0.12,1.93,5.81
Americas,Canada,2013,10.24,3.24,0.12,1.9,5.14
Americas,Canada,2014,9.99,3.3,0.12,1.88,4.94
Africa,Central African Republic,2000,1.29,3.16,0,0.9,0.47
Africa,Central African Republic,2001,0.97,0.05,0,0.54,0.32
Africa,Central African Republic,2002,0.76,0.06,0,0.45,0.27
Africa,Central African Republic,2003,0.38,0.02,0,0.3,0.08
Africa,Central African Republic,2004,0.3,0.08,0,0.26,0.01
Africa,Central African Republic,2005,5.93,1.13,0,4.61,0.02
Africa,Central African Republic,2006,6.2,1.7,0.01,4.17,0.02
Africa,Central African Republic,2007,6.56,1.59,0.01,4.83,0.03
Africa,Central African Republic,2008,2.53,0.46,0,0.97,0.88
Africa,Central African Republic,2009,1.75,0.85,0,0.49,0.36
Africa,Central African Republic,2010,1.23,0.75,0,0.39,0.23
Africa,Central African Republic,2011,0.48,0.42,0,0.04,0.03
Africa,Chad,2000,0.05,0.34,0,0.01,0.02
Africa,Chad,2001,1.1,0.03,0.3,0.24,0.09
Africa,Chad,2002,1.14,0.47,0.28,0.06,0.32
Africa,Chad,2003,1.21,0.67,0.28,0.02,0.25
Africa,Chad,2004,1.79,0.66,0.13,0.55,0.08
Africa,Chad,2005,1.1,0.87,0,0.36,0.16
Africa,Chad,2006,4.55,0.53,0,2.43,0.09
Africa,Chad,2007,6.35,2.96,0.12,2.91,0.13
Africa,Chad,2008,6.5,3.32,0.1,2.76,0.13
Africa,Chad,2009,1.19,3.71,0,0.04,0.37
Africa,Chad,2010,1.46,0.82,0,0.06,0.45
Africa,Chad,2011,1.29,0.96,0,0.06,0.35
Africa,Chad,2012,1.49,0.95,0,0.69,0.05
Africa,Chad,2013,1.29,0.81,0,0.47,0.06
Americas,Chile,2000,1.53,0.84,0,0.5,0.13
Americas,Chile,2001,2.35,0.83,0,1.28,1.52
Americas,Chile,2002,2.71,0.19,0,1.24,1.37
Americas,Chile,2003,2.55,0.25,0,1.31,0.81
Americas,Chile,2004,1.98,0.81,0,0.73,0.06
Americas,Chile,2005,1.37,0.04,0,0.37,0.17
Americas,Chile,2006,1.34,0.06,0,0.06,0.55
Americas,Chile,2007,9.89,0.43,9.26,0.2,0
Americas,Chile,2008,9.63,0.57,8.83,0.16,0
Americas,Chile,2009,4.89,1.28,0,2.45,0.47
Americas,Chile,2010,8.86,2.67,0.22,4.32,0.69
Americas,Chile,2011,8.44,3.36,0.24,4.19,0.73
Americas,Chile,2012,1.72,0.51,0,1.12,0.07
Americas,Chile,2013,1.69,0.41,0.01,1.28,0.13
Americas,Chile,2014,1.75,0.19,0.01,1.44,0.11
Western Pacific,China,2000,11.44,4.98,0.61,2.32,3.22
Western Pacific,China,2001,11.84,4.85,0.8,2.35,3.9
Western Pacific,China,2002,10.42,3.76,0.84,2.16,3.95
Western Pacific,China,2003,4.09,3.49,3.5,0.09,0
Western Pacific,China,2004,4.07,0.51,3.27,0.15,0.01
Western Pacific,China,2005,4.04,0.69,3.22,0.1,0.01
Western Pacific,China,2006,8.33,4.62,0,2.42,1.17
Western Pacific,China,2007,8.74,4.5,0,2.76,1.4
Western Pacific,China,2008,8.82,4.31,0,2.95,1.55
Western Pacific,China,2009,5.86,1.37,0,0.73,4.36
Western Pacific,China,2010,6.67,1.35,0,0.91,4.19
Western Pacific,China,2011,5.77,1.9,0,0.57,3.43
Western Pacific,China,2012,1.47,0.25,0,0.97,0.33
Western Pacific,China,2013,2.15,0.28,0,1.66,0.19
Western Pacific,China,2014,1.21,0.65,0,0.51,0.13
Americas,Colombia,2000,0.88,0.51,0,0.19,0.17
Americas,Colombia,2001,0.91,0.33,0,0.38,0.23
Americas,Colombia,2002,6.3,6,0,1.87,0.06
Americas,Colombia,2003,8.18,6.35,0.05,1.7,0.11
Americas,Colombia,2004,6.71,5,0.08,1.68,0.1
Americas,Colombia,2005,2.19,0.83,0,1.05,0.01
Americas,Colombia,2006,3.58,1.16,0,2.12,0.01
Americas,Colombia,2007,4,1.94,0,1.81,0.02
Americas,Colombia,2008,0.04,0.08,0,0,0
Americas,Colombia,2009,0.04,0.04,0,0,0
Americas,Colombia,2010,0.04,0.03,0,0,0
Americas,Colombia,2011,2.46,0.49,1.68,0.27,0.01
Americas,Colombia,2012,2.3,0.45,1.41,0.35,0.04
Americas,Colombia,2013,1.68,0.86,0.79,0.19,0.07
Americas,Colombia,2014,4.14,0.88,3.11,0.06,0.2
Africa,Comoros,2000,5.21,1.47,3.1,0.34,0.08
Africa,Comoros,2001,,2.12,,,0.05
Africa,Comoros,2002,,,,,
Africa,Comoros,2003,,,,,
Africa,Comoros,2004,,,,,
Africa,Comoros,2005,,,,,
Africa,Comoros,2006,,,,,
Africa,Comoros,2007,,,,,
Africa,Comoros,2008,,,,,
Africa,Comoros,2009,,,,,
Africa,Comoros,2010,,,,,
Africa,Comoros,2011,,,,,
Africa,Congo,2000,,,,,
Africa,Congo,2001,,,,,
Africa,Congo,2002,,,,,
Africa,Congo,2003,,,,,
Africa,Congo,2004,,,,,
Africa,Congo,2005,,,,,
Africa,Congo,2006,,,,,
Africa,Congo,2007,,,,,
Africa,Congo,2008,,,,,
Africa,Congo,2009,,,,,
Africa,Congo,2010,,,,,
Africa,Congo,2011,,,,,
Western Pacific,Cook Islands,2000,,,,,
Western Pacific,Cook Islands,2001,,,,,
Western Pacific,Cook Islands,2002,,,,,
Western Pacific,Cook Islands,2003,,,,,
Western Pacific,Cook Islands,2004,,,,,
Western Pacific,Cook Islands,2005,,,,,
Western Pacific,Cook Islands,2006,,,,,
Western Pacific,Cook Islands,2007,,,,,
Western Pacific,Cook Islands,2008,,,,,
Western Pacific,Cook Islands,2009,,,,,
Western Pacific,Cook Islands,2010,,,,,
Western Pacific,Cook Islands,2011,,,,,
Americas,Costa Rica,2000,,,,,
Americas,Costa Rica,2001,,,,,
Americas,Costa Rica,2002,,,,,
Americas,Costa Rica,2003,,,,,
Americas,Costa Rica,2004,,,,,
Americas,Costa Rica,2005,,,,,
Americas,Costa Rica,2006,,,,,
Americas,Costa Rica,2007,,,,,
Americas,Costa Rica,2008,,,,,
Americas,Costa Rica,2009,,,,,
Americas,Costa Rica,2010,,,,,
Americas,Costa Rica,2011,,,,,
Americas,Costa Rica,2012,,,,,
Americas,Costa Rica,2013,,,,,
Americas,Costa Rica,2014,,,,,
Europe,Croatia,2000,,,,,
Europe,Croatia,2001,,,,,
Europe,Croatia,2002,,,,,
Europe,Croatia,2003,,,,,
Europe,Croatia,2004,,,,,
Europe,Croatia,2005,,,,,
Europe,Croatia,2006,,,,,
Europe,Croatia,2007,,,,,
Europe,Croatia,2008,,,,,
Europe,Croatia,2009,,,,,
Europe,Croatia,2010,,,,,
Europe,Croatia,2011,,,,,
Europe,Croatia,2012,,,,,
Europe,Croatia,2013,,,,,
Europe,Croatia,2014,,,,,
Americas,Cuba,2000,,,,,
Americas,Cuba,2001,,,,,
Americas,Cuba,2002,,,,,
Americas,Cuba,2003,,,,,
Americas,Cuba,2004,,,,,
Americas,Cuba,2005,,,,,
Americas,Cuba,2006,,,,,
Americas,Cuba,2007,,,,,
Americas,Cuba,2008,,,,,
Americas,Cuba,2009,,,,,
Americas,Cuba,2010,,,,,
Americas,Cuba,2011,,,,,
Americas,Cuba,2012,,,,,
Americas,Cuba,2013,,,,,
Americas,Cuba,2014,,,,,
Europe,Cyprus,2000,,,,,
Europe,Cyprus,2001,,,,,
Europe,Cyprus,2002,,,,,
Europe,Cyprus,2003,,,,,
Europe,Cyprus,2004,,,,,
Europe,Cyprus,2005,,,,,
Europe,Cyprus,2006,,,,,
Europe,Cyprus,2007,,,,,
Europe,Cyprus,2008,,,,,
Europe,Cyprus,2009,,,,,
Europe,Cyprus,2010,,,,,
Europe,Cyprus,2011,,,,,
Europe,Cyprus,2012,,,,,
Europe,Cyprus,2013,,,,,
Europe,Czechia,2000,,,,,
Europe,Czechia,2001,,,,,
Europe,Czechia,2002,,,,,
Europe,Czechia,2003,,,,,
Europe,Czechia,2004,,,,,
Europe,Czechia,2005,,,,,
Europe,Czechia,2006,,,,,
Europe,Czechia,2007,,,,,
Europe,Czechia,2008,,,,,
Europe,Czechia,2009,,,,,
Europe,Czechia,2010,,,,,
Europe,Czechia,2011,,,,,
Europe,Czechia,2012,,,,,
Europe,Czechia,2013,,,,,
Europe,Czechia,2014,,,,,
South-East Asia,Democratic People's Republic of Korea,2000,,,,,
South-East Asia,Democratic People's Republic of Korea,2001,,,,,
South-East Asia,Democratic People's Republic of Korea,2002,,,,,
South-East Asia,Democratic People's Republic of Korea,2003,,,,,
South-East Asia,Democratic People's Republic of Korea,2004,,,,,
South-East Asia,Democratic People's Republic of Korea,2005,,,,,
South-East Asia,Democratic People's Republic of Korea,2006,,,,,
South-East Asia,Democratic People's Republic of Korea,2007,,,,,
South-East Asia,Democratic People's Republic of Korea,2008,,,,,
South-East Asia,Democratic People's Republic of Korea,2009,,,,,
South-East Asia,Democratic People's Republic of Korea,2010,,,,,
South-East Asia,Democratic People's Republic of Korea,2011,,,,,
South-East Asia,Democratic People's Republic of Korea,2012,,,,,
South-East Asia,Democratic People's Republic of Korea,2013,,,,,
Africa,Democratic Republic of the Congo,2000,,,,,
Africa,Democratic Republic of the Congo,2001,,,,,
Africa,Democratic Republic of the Congo,2002,,,,,
Africa,Democratic Republic of the Congo,2003,,,,,
Africa,Democratic Republic of the Congo,2004,,,,,
Africa,Democratic Republic of the Congo,2005,,,,,
Africa,Democratic Republic of the Congo,2006,,,,,
Africa,Democratic Republic of the Congo,2007,,,,,
Africa,Democratic Republic of the Congo,2008,,,,,
Africa,Democratic Republic of the Congo,2009,,,,,
Africa,Democratic Republic of the Congo,2010,,,,,
Africa,Democratic Republic of the Congo,2011,,,,,
Europe,Denmark,2000,,,,,
Europe,Denmark,2001,,,,,
Europe,Denmark,2002,,,,,
Europe,Denmark,2003,,,,,
Europe,Denmark,2004,,,,,
Europe,Denmark,2005,,,,,
Europe,Denmark,2006,,,,,
Europe,Denmark,2007,,,,,
Europe,Denmark,2008,,,,,
Europe,Denmark,2009,,,,,
Europe,Denmark,2010,,,,,
Europe,Denmark,2011,,,,,
Europe,Denmark,2012,,,,,
Europe,Denmark,2013,,,,,
Europe,Denmark,2014,,,,,
Eastern Mediterranean,Djibouti,2000,,,,,
Eastern Mediterranean,Djibouti,2001,,,,,
Eastern Mediterranean,Djibouti,2002,,,,,
Eastern Mediterranean,Djibouti,2003,,,,,
Eastern Mediterranean,Djibouti,2004,,,,,
Eastern Mediterranean,Djibouti,2005,,,,,
Eastern Mediterranean,Djibouti,2006,,,,,
Eastern Mediterranean,Djibouti,2007,,,,,
Eastern Mediterranean,Djibouti,2008,,,,,
Eastern Mediterranean,Djibouti,2009,,,,,
Eastern Mediterranean,Djibouti,2010,,,,,
Eastern Mediterranean,Djibouti,2011,,,,,
Eastern Mediterranean,Djibouti,2012,,,,,
Eastern Mediterranean,Djibouti,2013,,,,,
Eastern Mediterranean,Djibouti,2014,,,,,
Americas,Dominica,2000,,,,,
Americas,Dominica,2001,,,,,
Americas,Dominica,2002,,,,,
Americas,Dominica,2003,,,,,
Americas,Dominica,2004,,,,,
Americas,Dominica,2005,,,,,
Americas,Dominica,2006,,,,,
Americas,Dominica,2007,,,,,
Americas,Dominica,2008,,,,,
Americas,Dominica,2009,,,,,
Americas,Dominica,2010,,,,,
Americas,Dominica,2011,,,,,
Americas,Dominican Republic,2000,,,,,
Americas,Dominican Republic,2001,,,,,
Americas,Dominican Republic,2002,,,,,
Americas,Dominican Republic,2003,,,,,
Americas,Dominican Republic,2004,,,,,
Americas,Dominican Republic,2005,,,,,
Americas,Dominican Republic,2006,,,,,
Americas,Dominican Republic,2007,,,,,
Americas,Dominican Republic,2008,,,,,
Americas,Dominican Republic,2009,,,,,
Americas,Dominican Republic,2010,,,,,
Americas,Dominican Republic,2011,,,,,
Americas,Dominican Republic,2012,,,,,
Americas,Dominican Republic,2013,,,,,
Americas,Dominican Republic,2014,,,,,
Americas,Ecuador,2000,,,,,
Americas,Ecuador,2001,,,,,
Americas,Ecuador,2002,,,,,
Americas,Ecuador,2003,,,,,
Americas,Ecuador,2004,,,,,
Americas,Ecuador,2005,,,,,
Americas,Ecuador,2006,,,,,
Americas,Ecuador,2007,,,,,
Americas,Ecuador,2008,,,,,
Americas,Ecuador,2009,,,,,
Americas,Ecuador,2010,,,,,
Americas,Ecuador,2011,,,,,
Americas,Ecuador,2012,,,,,
Americas,Ecuador,2013,,,,,
Americas,Ecuador,2014,,,,,
Eastern Mediterranean,Egypt,2000,,,,,
Eastern Mediterranean,Egypt,2001,,,,,
Eastern Mediterranean,Egypt,2002,,,,,
Eastern Mediterranean,Egypt,2003,,,,,
Eastern Mediterranean,Egypt,2004,,,,,
Eastern Mediterranean,Egypt,2005,,,,,
Eastern Mediterranean,Egypt,2006,,,,,
Eastern Mediterranean,Egypt,2007,,,,,
Eastern Mediterranean,Egypt,2008,,,,,
Eastern Mediterranean,Egypt,2009,,,,,
Eastern Mediterranean,Egypt,2010,,,,,
Eastern Mediterranean,Egypt,2011,,,,,
Eastern Mediterranean,Egypt,2012,,,,,
Eastern Mediterranean,Egypt,2013,,,,,
Eastern Mediterranean,Egypt,2014,,,,,
Americas,El Salvador,2000,,,,,
Americas,El Salvador,2001,,,,,
Americas,El Salvador,2002,,,,,
Americas,El Salvador,2003,,,,,
Americas,El Salvador,2004,,,,,
Americas,El Salvador,2005,,,,,
Americas,El Salvador,2006,,,,,
Americas,El Salvador,2007,,,,,
Americas,El Salvador,2008,,,,,
Americas,El Salvador,2009,,,,,
Americas,El Salvador,2010,,,,,
Americas,El Salvador,2011,,,,,
Americas,El Salvador,2012,,,,,
Americas,El Salvador,2013,,,,,
Americas,El Salvador,2014,,,,,
Africa,Equatorial Guinea,2000,,,,,
Africa,Equatorial Guinea,2001,,,,,
Africa,Equatorial Guinea,2002,,,,,
Africa,Equatorial Guinea,2003,,,,,
Africa,Equatorial Guinea,2004,,,,,
Africa,Equatorial Guinea,2005,,,,,
Africa,Equatorial Guinea,2006,,,,,
Africa,Equatorial Guinea,2007,,,,,
Africa,Equatorial Guinea,2008,,,,,
Africa,Equatorial Guinea,2009,,,,,
Africa,Equatorial Guinea,2010,,,,,
Africa,Equatorial Guinea,2011,,,,,
Africa,Equatorial Guinea,2012,,,,,
Africa,Equatorial Guinea,2013,,,,,
Africa,Eritrea,2000,,,,,
Africa,Eritrea,2001,,,,,
Africa,Eritrea,2002,,,,,
Africa,Eritrea,2003,,,,,
Africa,Eritrea,2004,,,,,
Africa,Eritrea,2005,,,,,
Africa,Eritrea,2006,,,,,
Africa,Eritrea,2007,,,,,
Africa,Eritrea,2008,,,,,
Africa,Eritrea,2009,,,,,
Africa,Eritrea,2010,,,,,
Africa,Eritrea,2011,,,,,
Europe,Estonia,2002,,,,,
Europe,Estonia,2003,,,,,
Europe,Estonia,2004,,,,,
Europe,Estonia,2005,,,,,
Europe,Estonia,2006,,,,,
Europe,Estonia,2007,,,,,
Europe,Estonia,2008,,,,,
Europe,Estonia,2009,,,,,
Europe,Estonia,2010,,,,,
Africa,Ethiopia,2000,,,,,
Africa,Ethiopia,2001,,,,,
Africa,Ethiopia,2002,,,,,
Africa,Ethiopia,2003,,,,,
Africa,Ethiopia,2004,,,,,
Africa,Ethiopia,2005,,,,,
Africa,Ethiopia,2006,,,,,
Africa,Ethiopia,2007,,,,,
Africa,Ethiopia,2008,,,,,
Africa,Ethiopia,2009,,,,,
Africa,Ethiopia,2010,,,,,
Africa,Ethiopia,2011,,,,,
Africa,Ethiopia,2012,,,,,
Africa,Ethiopia,2013,,,,,
Western Pacific,Fiji,2000,,,,,
Western Pacific,Fiji,2001,,,,,
Western Pacific,Fiji,2002,,,,,
Western Pacific,Fiji,2003,,,,,
Western Pacific,Fiji,2004,,,,,
Western Pacific,Fiji,2005,,,,,
Western Pacific,Fiji,2006,,,,,
Western Pacific,Fiji,2007,,,,,
Western Pacific,Fiji,2008,,,,,
Western Pacific,Fiji,2009,,,,,
Western Pacific,Fiji,2010,,,,,
Europe,Finland,2000,,,,,
Europe,Finland,2001,,,,,
Europe,Finland,2002,,,,,
Europe,Finland,2003,,,,,
Europe,Finland,2004,,,,,
Europe,Finland,2005,,,,,
Europe,Finland,2006,,,,,
Europe,Finland,2007,,,,,
Europe,Finland,2008,,,,,
Europe,Finland,2009,,,,,
Europe,Finland,2010,,,,,
Europe,Finland,2011,,,,,
Europe,Finland,2012,,,,,
Europe,Finland,2013,,,,,
Europe,Finland,2014,,,,,
Europe,France,2000,,,,,
Europe,France,2001,,,,,
Europe,France,2002,,,,,
Europe,France,2003,,,,,
Europe,France,2004,,,,,
Europe,France,2005,,,,,
Europe,France,2006,,,,,
Europe,France,2007,,,,,
Europe,France,2008,,,,,
Europe,France,2009,,,,,
Europe,France,2010,,,,,
Europe,France,2011,,,,,
Europe,France,2012,,,,,
Europe,France,2013,,,,,
Europe,France,2014,,,,,
Africa,Gabon,2000,,,,,
Africa,Gabon,2001,,,,,
Africa,Gabon,2002,,,,,
Africa,Gabon,2003,,,,,
Africa,Gabon,2004,,,,,
Africa,Gabon,2005,,,,,
Africa,Gabon,2006,,,,,
Africa,Gabon,2007,,,,,
Africa,Gabon,2008,,,,,
Africa,Gabon,2009,,,,,
Africa,Gabon,2010,,,,,
Africa,Gabon,2011,,,,,
Africa,Gabon,2012,,,,,
Africa,Gabon,2013,,,,,
Africa,Gambia,2000,,,,,
Africa,Gambia,2001,,,,,
Africa,Gambia,2002,,,,,
Africa,Gambia,2003,,,,,
Africa,Gambia,2004,,,,,
Africa,Gambia,2005,,,,,
Africa,Gambia,2006,,,,,
Africa,Gambia,2007,,,,,
Africa,Gambia,2008,,,,,
Africa,Gambia,2009,,,,,
Africa,Gambia,2010,,,,,
Africa,Gambia,2011,,,,,
Europe,Georgia,2000,,,,,
Europe,Georgia,2001,,,,,
Europe,Georgia,2002,,,,,
Europe,Georgia,2003,,,,,
Europe,Georgia,2004,,,,,
Europe,Georgia,2005,,,,,
Europe,Georgia,2006,,,,,
Europe,Georgia,2007,,,,,
Europe,Georgia,2008,,,,,
Europe,Georgia,2009,,,,,
Europe,Georgia,2010,,,,,
Europe,Georgia,2011,,,,,
Europe,Georgia,2012,,,,,
Europe,Georgia,2013,,,,,
Europe,Georgia,2014,,,,,
Europe,Germany,2000,,,,,
Europe,Germany,2001,,,,,
Europe,Germany,2002,,,,,
Europe,Germany,2003,,,,,
Europe,Germany,2004,,,,,
Europe,Germany,2005,,,,,
Europe,Germany,2006,,,,,
Europe,Germany,2007,,,,,
Europe,Germany,2008,,,,,
Europe,Germany,2009,,,,,
Europe,Germany,2010,,,,,
Europe,Germany,2011,,,,,
Europe,Germany,2012,,,,,
Europe,Germany,2013,,,,,
Europe,Germany,2014,,,,,
Africa,Ghana,2000,,,,,
Africa,Ghana,2001,,,,,
Africa,Ghana,2002,,,,,
Africa,Ghana,2003,,,,,
Africa,Ghana,2004,,,,,
Africa,Ghana,2005,,,,,
Africa,Ghana,2006,,,,,
Africa,Ghana,2007,,,,,
Africa,Ghana,2008,,,,,
Africa,Ghana,2009,,,,,
